Nodes;Addjested Nodes
494779231;{919345661,595756042,}
494779232;{494779233,702256683,702270389,}
494779233;{494779232,2961217544,}
494779237;{2961217578,595756039,}
494779238;{2961217573,2961217563,}
494779239;{2961217559,1882004879,2961217549,}
494779240;{965827398,2982540265,}
494779241;{2982540171,2984321979,2984391387,3979541458,}
494779242;{1220279892,3538926845,2821049723,1220279877,}
494779243;{1858305746,3976412431,}
494779244;{3976412879,3976412431,1220279877,}
494779245;{4873546284,1941203080,4873546290,}
494779248;{3538926784,3529442527,3538926845,}
494779249;{1370918906,3538921387,3538878605,}
494779250;{3538878615,506297885,}
494779251;{506297886,705511910,3976412435,}
494779252;{2293619077,1887788457,}
494779254;{3426778767,3548012630,3548012661,3538873695,}
494779255;{2796235075,3538794483,3421817053,}
494779256;{2982540442,3979430339,4826169872,2853573743,}
494779257;{2982540232,2982540228,2984913837,}
494779258;{3984555995,3979541688,494779259,3979541685,}
494779259;{3979541704,5298864615,494779258,}
494779260;{703447246,965827476,494779261,}
494779261;{965827445,2296701023,4949848304,494779260,}
494779262;{4949848309,956660680,703447228,1941387574,}
494779263;{956660688,956660662,960245231,703970078,}
494779264;{5323908914,5323908913,956660690,5323908910,956660657,}
494779265;{956660667,956660691,5000702824,}
494779266;{956660706,956660691,}
494779267;{5323908903,1952456429,5323908896,3512179605,}
494779268;{3984555995,965827493,3984570005,}
494779269;{3979541721,2296701005,2984325166,}
494779270;{3676200840,3971077449,}
494779271;{1416895354,2984913871,}
494779273;{1954534327,3726024564,1730818118,}
494779274;{1730818104,3726030871,}
494779275;{4075119808,3726026524,}
494779276;{1730818138,4094934485,}
494779278;{4110942646,4117135248,4125334704,1954543733,}
494779279;{494779280,702241656,4125334701,}
494779280;{1902293733,494779279,}
494779281;{4873443088,1902293747,}
494779282;{1214196299,3428438540,}
494779283;{3409265707,703777255,1214196256,1214196360,}
494779284;{1579345924,1579345920,5413433760,}
494779285;{702241681,703826646,1579345951,}
494779286;{965928443,5298845544,}
494779287;{965928425,560399002,}
494779288;{3093099579,1214196334,3447114394,}
494779289;{3400433584,3093099574,}
494779290;{3093099573,1936704468,919414987,3428958781,}
494779291;{1945910450,3439423655,3439423648,919414988,}
494779292;{703754813,3844253275,}
494779293;{705550556,1945997350,705550537,}
494779294;{705550525,1945997357,1945997358,}
494779296;{5257403919,2984391401,2984391416,5257588147,}
494779297;{964849737,956660663,}
494779298;{965827419,965827490,5304159646,}
494779299;{3519869054,965827419,703450542,5304159648,}
494779300;{2804634011,2804634016,506297848,2804634013,}
494779301;{2804634020,703477303,506297850,}
494779302;{2804634025,2804634023,}
494779303;{506297851,2804634021,}
494779304;{3676199377,703634682,}
494779305;{703477536,3971077332,506297848,2804634018,}
494779306;{1966645693,1966645692,}
494779307;{3020364742,3020364741,3707896270,}
494779308;{3020364746,703630823,3020364749,}
494779310;{950917558,3020364765,3020364762,}
494779312;{3523463616,702256726,1861224962,1952456442,}
494779313;{5373977080,703970168,703969943,494779316,}
494779314;{3514472848,703969943,703970142,}
494779315;{595742608,1966477087,703970143,}
494779316;{703970163,1376818474,494779313,3514487686,}
494779317;{965928496,703477467,1839830581,3522084724,}
494779319;{3522483679,3522483631,3522483630,965928468,}
494779321;{3984569978,3515677090,3979541497,3984572124,}
494779323;{965827493,965827463,5298864615,1941387631,}
506297844;{506297845,2017728073,}
506297845;{2804634012,506297844,}
506297846;{2804634012,2804634015,506297847,}
506297847;{2804634014,506297846,}
506297848;{494779300,494779305,}
506297849;{2804634020,703477317,}
506297850;{703477517,494779301,2804634023,}
506297851;{3676200829,494779303,}
506297852;{2017728073,3676199402,3676200829,3676199421,}
506297854;{2804634022,2804634024,}
506297855;{506297856,5195820704,}
506297856;{506297859,506297855,}
506297857;{506297858,506297859,}
506297858;{2984913871,506297857,}
506297859;{506297857,506297856,}
506297860;{3549457767,3538794997,1370918906,}
506297864;{3549758564,2010362885,705511902,}
506297866;{3538873819,3549758564,}
506297879;{4281121469,3549758586,1905876403,}
506297880;{3426778777,3549358242,}
506297881;{506297882,3549358244,}
506297882;{3549358253,506297881,}
506297883;{2066096774,3549358250,1887788459,3549358245,}
506297885;{494779250,3538878644,}
506297886;{494779251,1887788459,3538878644,}
506297887;{506297889,3728983483,}
506297888;{4461806140,1667549570,1941203076,}
506297889;{506297887,3541796577,506297891,}
506297890;{3728983457,1971574111,}
506297891;{3728983465,506297889,}
506297892;{1966380887,3886102942,}
506297893;{3545601429,2066267375,3728983507,3728983505,}
506297896;{5403767265,4346024684,5403767302,}
506297898;{3538731410,1867305598,3541796884,3541796890,}
506297899;{1867305598,3541796894,3538731413,3541796893,}
506297903;{3979541659,2982540505,1945938243,3979541657,}
522457455;{391426408,1895817970,1895817971,1579345902,}
559990921;{2476676032,4304598052,}
559990923;{2476676205,2476676206,}
559990925;{64675572,559990926,}
559990926;{559990925,560398994,}
559990927;{1200340834,4182636796,}
